Tweet Id	Target	Stance	Opinion Towards	Sentiment	full_text
1284746895009579008	stay_at_home_orders	FAVOR	2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.	pos	@sanket True that! In fact the Virus is in its much stronger avatar and it probably has learnt to adapt to the weather. This one is more dangerous than the original version. We need more preparedness and more precautions.  #CoronaVirus #StaySafeStayHome
1286016980529500160	stay_at_home_orders	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	pos	
1286089915122323456	stay_at_home_orders	FAVOR	2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.	neg	@thegoodgodabove & some AHOLE from #Texas just drove all way to #Montana to start Coughing uncontrollably in next aisle over from me, heard him keep coughing until a Store Manager ASKED HIM TO LEAVE... i counted 7 different Out-of-State Plates in 3blocks... WTF #StayAtHomeSaveLives
1280983095257292806	stay_at_home_orders	FAVOR	2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.	pos	@FoxNews Protecting the vulnerable is a big part of the plumeting of death rates.   #OPENAMERICANOW
1287998882975105025	stay_at_home_orders	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	neg	"@Matthew_Xing @thehill ""During a highly infectious and deadly global pandemic maybe we want people to stay home you stupid POS."" #DontDieForWallStreet  #StayAtHomeSaveLives"
1284025774983376896	stay_at_home_orders	FAVOR	1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.	pos	#FridayFeeling  #FridayMotivation  👉👉Live Today As it is Your LasT day🙄🙄😇😇😇 #StayHomeStaySafe  #SaferAtHome
1251328089256230912	stay_at_home_orders	FAVOR	2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.	neg	A good friend is sobbing to my wife as her aunt is dying of COVID-19 because she had the nerve to get a kidney stone and have to go to a hospital. So with all due respect (which is none) fuck all of you ghouls who want to #ReopenAmericaNow.
1290531504095821829	stay_at_home_orders	FAVOR	2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.	pos	@anushkasen_04 Happy birthday the cutest girl in the world 🥰🥰😇 . . . . . #StayAtHome #StaySafeStayHome
1287611539734892544	stay_at_home_orders	FAVOR	2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.	other	@News24 @City_Press This is a very real danger I see in people around me. Please observe all health protocols. It could save your life. #StayAtHomeSaveLives
1248690648456269829	stay_at_home_orders	FAVOR	2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.	neg	
